x,y,z
-0.0514068603515625,-0.18590545654296875,-0.9593620300292969
-0.051486968994140625,-0.18576431274414062,-0.9590568542480469
-0.05168914794921875,-0.18566131591796875,-0.9592933654785156
-0.051788330078125,-0.185699462890625,-0.9592742919921875
-0.051761627197265625,-0.1860809326171875,-0.9591751098632812
-0.05188751220703125,-0.18592453002929688,-0.9590721130371094
-0.051807403564453125,-0.1859283447265625,-0.9592857360839844
-0.0516204833984375,-0.18548965454101562,-0.959564208984375
-0.051593780517578125,-0.18575286865234375,-0.9592819213867188
-0.051303863525390625,-0.18573379516601562,-0.9588623046875
-0.05153656005859375,-0.1859283447265625,-0.9585647583007812
-0.051723480224609375,-0.18586349487304688,-0.9590568542480469
-0.0518035888671875,-0.18590164184570312,-0.9587631225585938
-0.0516204833984375,-0.18596649169921875,-0.958892822265625
-0.0515289306640625,-0.18610000610351562,-0.9594535827636719
-0.0518341064453125,-0.185516357421875,-0.9595680236816406
-0.0514373779296875,-0.1857452392578125,-0.9593544006347656
-0.0514373779296875,-0.18585205078125,-0.959075927734375
-0.051288604736328125,-0.1858978271484375,-0.9588432312011719
-0.051631927490234375,-0.18587112426757812,-0.9586677551269531
-0.051822662353515625,-0.185699462890625,-0.9594993591308594
-0.05157470703125,-0.18581771850585938,-0.9591255187988281
-0.051319122314453125,-0.18600082397460938,-0.9590301513671875
-0.05161285400390625,-0.18565750122070312,-0.9589271545410156
-0.05162811279296875,-0.18558502197265625,-0.9587745666503906
-0.051746368408203125,-0.18561553955078125,-0.9593620300292969
-0.05150604248046875,-0.185821533203125,-0.9589729309082031
-0.05185699462890625,-0.185882568359375,-0.959320068359375
-0.051898956298828125,-0.1858673095703125,-0.9597854614257812
-0.0516357421875,-0.18564987182617188,-0.9586372375488281
-0.051799774169921875,-0.18589401245117188,-0.9592704772949219
-0.051692962646484375,-0.18572616577148438,-0.9593734741210938
-0.0518646240234375,-0.18567657470703125,-0.9586067199707031
-0.052013397216796875,-0.18555068969726562,-0.9587211608886719
-0.05179595947265625,-0.18548202514648438,-0.9589424133300781
-0.05138397216796875,-0.18570327758789062,-0.9595565795898438
-0.0518341064453125,-0.1859283447265625,-0.9592704772949219
-0.0521087646484375,-0.18592071533203125,-0.9590339660644531
-0.05164337158203125,-0.18603515625,-0.95977783203125
-0.051822662353515625,-0.18606185913085938,-0.9592971801757812
-0.05171966552734375,-0.1859130859375,-0.9589729309082031
-0.05182647705078125,-0.18577957153320312,-0.9588661193847656
-0.05182647705078125,-0.18549346923828125,-0.9592247009277344
-0.0518035888671875,-0.18584823608398438,-0.9594955444335938
-0.051303863525390625,-0.18570709228515625,-0.959320068359375
-0.05147552490234375,-0.18617630004882812,-0.9590415954589844
-0.051532745361328125,-0.18595504760742188,-0.9594917297363281
-0.051570892333984375,-0.18574905395507812,-0.9595870971679688
-0.0514984130859375,-0.18585586547851562,-0.9594306945800781
-0.051624298095703125,-0.18589401245117188,-0.9585800170898438
-0.051708221435546875,-0.18574142456054688,-0.9593772888183594
-0.051830291748046875,-0.18579864501953125,-0.9591751098632812
-0.051807403564453125,-0.18569183349609375,-0.9592666625976562
-0.051666259765625,-0.18586349487304688,-0.9592742919921875
-0.0513763427734375,-0.18569564819335938,-0.9590263366699219
-0.0516204833984375,-0.18590927124023438,-0.9590950012207031
-0.051784515380859375,-0.18593597412109375,-0.958984375
-0.0515289306640625,-0.18545913696289062,-0.9589042663574219
-0.0516510009765625,-0.185516357421875,-0.9590034484863281
-0.0517425537109375,-0.1858978271484375,-0.9592971801757812
-0.05157470703125,-0.18582534790039062,-0.9594345092773438
-0.051837921142578125,-0.18544387817382812,-0.9593353271484375
-0.05181884765625,-0.1856689453125,-0.9593162536621094
-0.051921844482421875,-0.18572235107421875,-0.9594268798828125
-0.05168914794921875,-0.18582534790039062,-0.9588127136230469
-0.05161285400390625,-0.18589019775390625,-0.9590072631835938
-0.05139923095703125,-0.18573760986328125,-0.9586753845214844
-0.051662445068359375,-0.18575668334960938,-0.9588584899902344
-0.0517578125,-0.18536758422851562,-0.9586906433105469
-0.051494598388671875,-0.18561935424804688,-0.9592971801757812
-0.051692962646484375,-0.18563461303710938,-0.9591407775878906
-0.051670074462890625,-0.18559646606445312,-0.9588279724121094
-0.051372528076171875,-0.18561553955078125,-0.9591712951660156
-0.0514984130859375,-0.18572616577148438,-0.9592437744140625
-0.05155181884765625,-0.1858062744140625,-0.959503173828125
-0.051792144775390625,-0.18592453002929688,-0.9589958190917969
-0.051548004150390625,-0.18555450439453125,-0.9588623046875
-0.0517120361328125,-0.18578338623046875,-0.9594230651855469
-0.05126953125,-0.18552780151367188,-0.9592819213867188
-0.05179595947265625,-0.18596267700195312,-0.959014892578125
-0.051837921142578125,-0.18586349487304688,-0.9587821960449219
-0.0517120361328125,-0.1856689453125,-0.9588394165039062
-0.05214691162109375,-0.18567657470703125,-0.9592170715332031
-0.051822662353515625,-0.18562698364257812,-0.9593505859375
-0.051654815673828125,-0.18558502197265625,-0.9594039916992188
-0.0517578125,-0.185699462890625,-0.9596824645996094
-0.051837921142578125,-0.18558502197265625,-0.9590835571289062
-0.051578521728515625,-0.18603897094726562,-0.9592552185058594
-0.051639556884765625,-0.1859893798828125,-0.9592666625976562
-0.0517425537109375,-0.18574905395507812,-0.9593315124511719
-0.051837921142578125,-0.18560791015625,-0.9593391418457031
-0.05165863037109375,-0.18558883666992188,-0.9593505859375
-0.051753997802734375,-0.18540573120117188,-0.9593086242675781
-0.05185699462890625,-0.18590545654296875,-0.9592742919921875
-0.0515594482421875,-0.18595123291015625,-0.9590301513671875
-0.05130767822265625,-0.18585205078125,-0.9588813781738281
-0.051700592041015625,-0.18568801879882812,-0.9594612121582031
-0.051410675048828125,-0.18537521362304688,-0.9590568542480469
-0.051502227783203125,-0.18555831909179688,-0.959075927734375
-0.051792144775390625,-0.18557357788085938,-0.9591064453125
-0.05181884765625,-0.18581771850585938,-0.9591217041015625
-0.051563262939453125,-0.18547439575195312,-0.9594078063964844
-0.0518951416015625,-0.18561553955078125,-0.9593048095703125
-0.051692962646484375,-0.18581390380859375,-0.9587173461914062
-0.051971435546875,-0.1856536865234375,-0.9588050842285156
-0.05165863037109375,-0.1856842041015625,-0.9595184326171875
-0.05185699462890625,-0.18619918823242188,-0.9592971801757812
-0.051792144775390625,-0.18610382080078125,-0.9590187072753906
-0.051296234130859375,-0.18578720092773438,-0.9594001770019531
-0.051433563232421875,-0.18569564819335938,-0.959075927734375
-0.05167388916015625,-0.18609619140625,-0.9592933654785156
-0.051845550537109375,-0.18578720092773438,-0.9589920043945312
-0.0516510009765625,-0.18569183349609375,-0.9590377807617188
-0.051212310791015625,-0.18537139892578125,-0.9590225219726562
-0.051548004150390625,-0.18595123291015625,-0.9592247009277344
-0.051746368408203125,-0.18586349487304688,-0.9592819213867188
-0.051715850830078125,-0.18587875366210938,-0.959197998046875
-0.051677703857421875,-0.1856842041015625,-0.9590568542480469
-0.052104949951171875,-0.1858062744140625,-0.9593391418457031
-0.051952362060546875,-0.1857757568359375,-0.9596099853515625
-0.051944732666015625,-0.18566131591796875,-0.9593696594238281
-0.05158233642578125,-0.1857757568359375,-0.9590911865234375
-0.05162811279296875,-0.18578338623046875,-0.9585533142089844
-0.0517120361328125,-0.18575286865234375,-0.9590797424316406
-0.05130767822265625,-0.18539047241210938,-0.9589805603027344
-0.051311492919921875,-0.18543624877929688,-0.9586715698242188
-0.05153656005859375,-0.18544387817382812,-0.9589271545410156
-0.051570892333984375,-0.18517303466796875,-0.959320068359375
-0.051563262939453125,-0.1856536865234375,-0.9587783813476562
-0.05167388916015625,-0.18557357788085938,-0.9585952758789062
-0.051876068115234375,-0.185546875,-0.9593620300292969
-0.051906585693359375,-0.18584060668945312,-0.9592971801757812
-0.05162811279296875,-0.18581771850585938,-0.9591827392578125
-0.05157470703125,-0.18555831909179688,-0.95904541015625
-0.0517730712890625,-0.18562698364257812,-0.9589042663574219
-0.0517425537109375,-0.18581008911132812,-0.9590835571289062
-0.051792144775390625,-0.18591690063476562,-0.9598312377929688
-0.05197906494140625,-0.1860198974609375,-0.9594154357910156
-0.051822662353515625,-0.18560028076171875,-0.9589996337890625
-0.05170440673828125,-0.18563461303710938,-0.9590492248535156
