x,y,z
-0.0517578125,-0.18569183349609375,-0.959197998046875
-0.051605224609375,-0.18571853637695312,-0.9587821960449219
-0.051544189453125,-0.18580245971679688,-0.9590492248535156
-0.051288604736328125,-0.18608856201171875,-0.9599380493164062
-0.0512847900390625,-0.185638427734375,-0.9596176147460938
-0.0513916015625,-0.1857757568359375,-0.9590263366699219
-0.0515594482421875,-0.185821533203125,-0.9588699340820312
-0.05176544189453125,-0.18564224243164062,-0.9590873718261719
-0.051853179931640625,-0.18572235107421875,-0.9592933654785156
-0.051860809326171875,-0.18564224243164062,-0.9596481323242188
-0.051799774169921875,-0.1857452392578125,-0.9592361450195312
-0.052059173583984375,-0.185577392578125,-0.9592819213867188
-0.05188751220703125,-0.18584060668945312,-0.95867919921875
-0.05197906494140625,-0.18594741821289062,-0.958831787109375
-0.05196380615234375,-0.18575668334960938,-0.9590988159179688
-0.051578521728515625,-0.18590545654296875,-0.9592094421386719
-0.051670074462890625,-0.1854095458984375,-0.9591903686523438
-0.051708221435546875,-0.18526840209960938,-0.9591865539550781
-0.0517578125,-0.18573379516601562,-0.9596099853515625
-0.0514678955078125,-0.18551254272460938,-0.9589920043945312
-0.051708221435546875,-0.18558120727539062,-0.9592857360839844
-0.05157470703125,-0.18541336059570312,-0.9590950012207031
-0.051746368408203125,-0.18572616577148438,-0.9594497680664062
-0.052032470703125,-0.18552017211914062,-0.9593429565429688
-0.051898956298828125,-0.18548202514648438,-0.9594764709472656
-0.051525115966796875,-0.18552017211914062,-0.9595298767089844
-0.051723480224609375,-0.18559646606445312,-0.9590644836425781
-0.051784515380859375,-0.1851654052734375,-0.9585342407226562
-0.0517578125,-0.18590545654296875,-0.959197998046875
-0.05162811279296875,-0.1858673095703125,-0.9591789245605469
-0.051868438720703125,-0.18567276000976562,-0.9596061706542969
-0.0518035888671875,-0.18558883666992188,-0.9597244262695312
-0.0518798828125,-0.1858673095703125,-0.9591140747070312
-0.0515594482421875,-0.1858978271484375,-0.95892333984375
-0.051578521728515625,-0.18572235107421875,-0.9590644836425781
-0.051509857177734375,-0.18553543090820312,-0.9595985412597656
-0.05147552490234375,-0.18581771850585938,-0.9593544006347656
-0.05169677734375,-0.18585586547851562,-0.9591407775878906
-0.0517578125,-0.18549346923828125,-0.9595832824707031
-0.05157470703125,-0.18579483032226562,-0.9594497680664062
-0.05167388916015625,-0.18555068969726562,-0.9593315124511719
-0.051464080810546875,-0.18572998046875,-0.9591598510742188
-0.051815032958984375,-0.18601226806640625,-0.9589385986328125
-0.051746368408203125,-0.185791015625,-0.9589080810546875
-0.051464080810546875,-0.18560409545898438,-0.9593276977539062
-0.051788330078125,-0.1859283447265625,-0.9588432312011719
-0.05162811279296875,-0.1855316162109375,-0.9587364196777344
-0.0519256591796875,-0.18555068969726562,-0.9590225219726562
-0.0518341064453125,-0.1858062744140625,-0.9594573974609375
-0.051830291748046875,-0.1859283447265625,-0.9592742919921875
-0.051746368408203125,-0.18595123291015625,-0.9590072631835938
-0.051609039306640625,-0.18590545654296875,-0.9592361450195312
-0.051727294921875,-0.1854248046875,-0.9592361450195312
-0.05175018310546875,-0.18572235107421875,-0.9589614868164062
-0.05210113525390625,-0.18575668334960938,-0.95904541015625
-0.051921844482421875,-0.185760498046875,-0.9591560363769531
-0.051959991455078125,-0.1859130859375,-0.9585914611816406
-0.051746368408203125,-0.18565750122070312,-0.9586944580078125
-0.05165863037109375,-0.185943603515625,-0.9593353271484375
-0.051654815673828125,-0.18601608276367188,-0.9592170715332031
-0.051910400390625,-0.18569564819335938,-0.9590682983398438
-0.051509857177734375,-0.18597030639648438,-0.9594345092773438
-0.0515899658203125,-0.18574142456054688,-0.9590492248535156
-0.051471710205078125,-0.18547821044921875,-0.9586868286132812
-0.0517730712890625,-0.18577194213867188,-0.9592208862304688
-0.051723480224609375,-0.18577957153320312,-0.9588699340820312
-0.05133056640625,-0.18598556518554688,-0.9591903686523438
-0.05139923095703125,-0.18538665771484375,-0.9596595764160156
-0.051692962646484375,-0.18547821044921875,-0.9595222473144531
-0.051494598388671875,-0.18564987182617188,-0.9595489501953125
-0.051502227783203125,-0.18553924560546875,-0.9590301513671875
-0.05150604248046875,-0.18571853637695312,-0.9590072631835938
-0.051525115966796875,-0.18559646606445312,-0.9592742919921875
-0.05178070068359375,-0.18558883666992188,-0.9588661193847656
-0.0519256591796875,-0.18564987182617188,-0.9593734741210938
-0.051555633544921875,-0.1857452392578125,-0.9588775634765625
-0.051910400390625,-0.18553543090820312,-0.9587211608886719
-0.052001953125,-0.18552780151367188,-0.9591789245605469
-0.051723480224609375,-0.18596267700195312,-0.9591941833496094
-0.05165863037109375,-0.18587493896484375,-0.958984375
-0.051677703857421875,-0.18554306030273438,-0.9588584899902344
-0.0516204833984375,-0.1859130859375,-0.9585304260253906
-0.05181121826171875,-0.1861114501953125,-0.9593467712402344
-0.051815032958984375,-0.18561553955078125,-0.9592971801757812
-0.05175018310546875,-0.18599700927734375,-0.9593276977539062
-0.05165863037109375,-0.18604660034179688,-0.9589309692382812
-0.051788330078125,-0.18560791015625,-0.9580612182617188
-0.05194091796875,-0.18558883666992188,-0.9584846496582031
-0.0516204833984375,-0.18573760986328125,-0.959442138671875
-0.051670074462890625,-0.18556976318359375,-0.9595603942871094
-0.051532745361328125,-0.18595123291015625,-0.9590568542480469
-0.051586151123046875,-0.18590927124023438,-0.9591178894042969
-0.05181121826171875,-0.18613433837890625,-0.9592971801757812
-0.051944732666015625,-0.18581008911132812,-0.9589729309082031
-0.05194854736328125,-0.1857757568359375,-0.9590377807617188
-0.05153656005859375,-0.18572235107421875,-0.9595832824707031
